#label	HHS_region	LibraryLayout	PFGE_PrimaryEnzyme_pattern	PFGE_SecondaryEnzyme_pattern	Platform	Run	asm_acc	asm_display_name	asm_level	asm_stats_contig_n50	asm_stats_length_bp	asm_stats_n_contig	assembly_method	attribute_package	bioproject_acc	biosample_acc	collected_by	collection_date	complete_fl	fullasm_id	geo_loc_name	host	host_disease	isolation_source	lat_lon	outbreak	sample_name	scientific_name	serovar	species_taxid	sra_center	sra_release_date	strain	sub_species	target_acc	target_creation_date	tax-id	wgs_acc_prefix	wgs_master_acc
PDT000038988.1|SAMEA2518458|GCA_000752275.1|Campylobacter jejuni||||Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000752275.1	Po_2	Contig	91493	1675030	53	NULL	Generic	PRJEB5994	SAMEA2518458	NULL	NULL	1	1200268	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Campylobacter jejuni	NULL	197	NULL	NULL	NULL	NULL	PDT000038988.1	2014-09-09	197	CCDE	CCDE00000000.1
PDT000038989.1|SAMEA2518456|GCA_000752375.1|Campylobacter jejuni||||Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000752375.1	Ma_B	Contig	113495	1668481	59	NULL	Generic	PRJEB5994	SAMEA2518456	NULL	NULL	1	1200368	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Campylobacter jejuni	NULL	197	NULL	NULL	NULL	NULL	PDT000038989.1	2014-09-09	197	CCDD	CCDD00000000.1
PDT000038990.1|SAMEA2518393|GCA_000752795.1|Campylobacter jejuni||||Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000752795.1	Le_204R	Contig	82132	1682333	59	NULL	Generic	PRJEB5994	SAMEA2518393	NULL	NULL	1	1200788	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Campylobacter jejuni	NULL	197	NULL	NULL	NULL	NULL	PDT000038990.1	2014-09-09	197	CCDB	CCDB00000000.1
PDT000038991.1|SAMEA2518389|GCA_000753015.1|Campylobacter jejuni||||Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000753015.1	Ma_1	Contig	109833	1663792	57	NULL	Generic	PRJEB5994	SAMEA2518389	NULL	NULL	1	1201008	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Campylobacter jejuni	NULL	197	NULL	NULL	NULL	NULL	PDT000038991.1	2014-09-09	197	CCCZ	CCCZ00000000.1
PDT000038992.1|SAMEA2518459|GCA_000753095.1|Campylobacter jejuni||||Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000753095.1	1_12S	Contig	107521	1870255	50	NULL	Generic	PRJEB5994	SAMEA2518459	NULL	NULL	1	1201088	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Campylobacter jejuni	NULL	197	NULL	NULL	NULL	NULL	PDT000038992.1	2014-09-09	197	CCCY	CCCY00000000.1
PDT000038993.1|SAMEA2518416|GCA_000753175.1|Campylobacter jejuni||||Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000753175.1	Le_755	Contig	92006	1684609	61	NULL	Generic	PRJEB5994	SAMEA2518416	NULL	NULL	1	1201168	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Campylobacter jejuni	NULL	197	NULL	NULL	NULL	NULL	PDT000038993.1	2014-09-09	197	CCDC	CCDC00000000.1
PDT000038994.1|SAMEA2518457|GCA_000753295.1|Campylobacter jejuni||||Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000753295.1	Po_1	Contig	53704	1675779	101	NULL	Generic	PRJEB5994	SAMEA2518457	NULL	NULL	1	1201288	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Campylobacter jejuni	NULL	197	NULL	NULL	NULL	NULL	PDT000038994.1	2014-09-09	197	CCDA	CCDA00000000.1
PDT000040001.1|SAMN03077634|GCA_000759575.1|Campylobacter jejuni|||G1|Pathogen: clinical or host-associated	0	NULL	NULL	NULL	NULL	NULL	GCA_000759575.1	G1.fsa	Contig	356469	1721530	14	IonTorrent Assembler v. 3.4.2.0	Pathogen: clinical or host-associated	PRJNA261878	SAMN03077634	missing	missing	1	1315528	missing	Homo sapiens	Guillain Barre syndrome	Guillain Barre syndrome patient	missing	NULL	Campylobacter jejuni G1	Campylobacter jejuni	NULL	197	NULL	NULL	G1	NULL	PDT000040001.1	2014-09-29	197	JRLT	JRLT00000000.1
PDT000040002.1|SAMN02870597|GCA_000759485.1|Campylobacter fetus subsp. fetus 04/554|fetus||04/554|Microbe	0	NULL	NULL	NULL	NULL	NULL	GCA_000759485.1	ASM75948v1	Complete Genome	1800764	1826626	2	NULL	Microbe	PRJNA177180	SAMN02870597	NULL	missing	1	1315428	Unknown	NULL	NULL	Bovine	NULL	NULL	04554	Campylobacter fetus subsp. fetus 04/554	NULL	196	NULL	NULL	04/554	fetus	PDT000040002.1	2014-09-29	1240980	NULL	NULL
PDT000040003.1|SAMN02870596|GCA_000759515.1|Campylobacter fetus subsp. venerealis 97/608|venerealis||97/608|Microbe	0	NULL	NULL	NULL	NULL	NULL	GCA_000759515.1	ASM75951v1	Complete Genome	1935028	2000424	3	NULL	Microbe	PRJNA73807	SAMN02870596	NULL	missing	1	1315468	Argentina	NULL	NULL	Bovine	NULL	NULL	97608	Campylobacter fetus subsp. venerealis 97/608	NULL	196	NULL	NULL	97/608	venerealis	PDT000040003.1	2014-09-29	1093099	NULL	NULL
PDT000041941.1|SAMN02376799|GCA_000772225.1|Campylobacter jejuni subsp. jejuni F38011|jejuni||F38011|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000772225.1	ASM77222v1	Complete Genome	1691939	1691939	1	NULL	Generic	PRJNA222831	SAMN02376799	NULL	NULL	1	1369658	NULL	NULL	NULL	NULL	NULL	NULL	F38011	Campylobacter jejuni subsp. jejuni F38011	NULL	197	NULL	NULL	F38011	jejuni	PDT000041941.1	2014-11-05	1408176	NULL	NULL
PDT000042365.1|SAMN03013564|GCA_000773615.1|Campylobacter fetus|||MMM01|Pathogen: clinical or host-associated	0	NULL	NULL	NULL	NULL	NULL	GCA_000773615.1	ASM77361v1	Contig	22210	1740393	143	CLC Genomics Workbench v. 6	Pathogen: clinical or host-associated	PRJNA259858	SAMN03013564	Dr. Anusha Rohit	2013-09-16	1	1372808	India:Chennai	Homo sapiens	Sepsis	Blood culture	13.04 N 80.17 E	NULL	Isolate from blood culture of a patient who died with sepsis	Campylobacter fetus	NULL	196	NULL	NULL	MMM01	NULL	PDT000042365.1	2014-11-07	196	JRKX	JRKX00000000.1
PDT000046471.1|SAMN03246887|GCA_000807355.1|Campylobacter jejuni subsp. jejuni|jejuni||YH001|Pathogen: environmental/food/other	0	NULL	NULL	NULL	NULL	NULL	GCA_000807355.1	ASM80735v1	Complete Genome	1712361	1712361	1	NULL	Pathogen: environmental/food/other	PRJNA268925	SAMN03246887	Yiping He	2014	1	1428518	USA: Philadelphia	NULL	NULL	Beef liver	39.95 N 75.16 W	NULL	C. jejuni from beef	Campylobacter jejuni subsp. jejuni	NULL	197	NULL	NULL	YH001	jejuni	PDT000046471.1	2014-12-23	32022	NULL	NULL
PDT000046968.1|SAMN02689633|GCA_000814265.1|Campylobacter fetus subsp. testudinum|testudinum||pet-3|Pathogen: clinical or host-associated	0	NULL	NULL	NULL	NULL	NULL	GCA_000814265.1	ASM81426v1	Complete Genome	1776391	1776391	1	NULL	Pathogen: clinical or host-associated	PRJNA241389	SAMN02689633	Chao-Min Wang, Wei-Yau Shia, Yi-Jyun Jhou, Ching-Lin Shyu	2009	1	1463248	Taiwan: Veterinary hospital of National Chung-Hsing University, Taichung	Lizard	gastroenteritis	feces	24.11852777777778 N 120.67905277777778 E	NULL	Pet-3-1	Campylobacter fetus subsp. testudinum	NULL	196	NULL	NULL	pet-3	testudinum	PDT000046968.1	2015-01-05	1507806	NULL	NULL
PDT000048221.1|SAMEA2422243|GCA_000821125.1|Campylobacter jejuni||UA|5070|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000821125.1	CJJ5070	Contig	222556	1651321	15	NULL	Generic	PRJEB5964	SAMEA2422243	NULL	2004	1	1480978	Finland	Chicken	NULL	faecal swap	NULL	NULL	NULL	Campylobacter jejuni	UA	197	NULL	NULL	5070	NULL	PDT000048221.1	2015-01-20	197	CCXG	CCXG00000000.1
PDT000049056.1|SAMN02316405|GCA_000830775.1|Campylobacter jejuni subsp. jejuni NCTC 11168-K12E5|||NCTC 11168-K12E5|MIGS Cultured Bacterial/Archaeal	0	NULL	NULL	NULL	NULL	NULL	GCA_000830775.1	ASM83077v1	Complete Genome	1641481	1641481	1	NULL	MIGS Cultured Bacterial/Archaeal	PRJNA215043	SAMN02316405	NULL	missing	1	1508728	missing	NULL	NULL	NULL	missing	NULL	NCTC 11168-K12E5	Campylobacter jejuni subsp. jejuni NCTC 11168-K12E5	NULL	197	NULL	NULL	NCTC 11168-K12E5	NULL	PDT000049056.1	2015-02-02	1385720	NULL	NULL
PDT000049057.1|SAMN02316408|GCA_000830805.1|Campylobacter jejuni subsp. jejuni NCTC 11168-Kf1|||NCTC 11168-Kf1|MIGS Cultured Bacterial/Archaeal	0	NULL	NULL	NULL	NULL	NULL	GCA_000830805.1	ASM83080v1	Complete Genome	1641480	1641480	1	NULL	MIGS Cultured Bacterial/Archaeal	PRJNA215043	SAMN02316408	NULL	missing	1	1508758	missing	NULL	NULL	NULL	missing	NULL	NCTC 11168-Kf1	Campylobacter jejuni subsp. jejuni NCTC 11168-Kf1	NULL	197	NULL	NULL	NCTC 11168-Kf1	NULL	PDT000049057.1	2015-02-02	1385723	NULL	NULL
PDT000049058.1|SAMN02316406|GCA_000830825.1|Campylobacter jejuni subsp. jejuni NCTC 11168-mcK12E5|||NCTC 11168-mcK12E5|MIGS Cultured Bacterial/Archaeal	0	NULL	NULL	NULL	NULL	NULL	GCA_000830825.1	ASM83082v1	Complete Genome	1641471	1641471	1	NULL	MIGS Cultured Bacterial/Archaeal	PRJNA215043	SAMN02316406	NULL	missing	1	1508778	missing	NULL	NULL	NULL	missing	NULL	NCTC 11168-mcK12E5	Campylobacter jejuni subsp. jejuni NCTC 11168-mcK12E5	NULL	197	NULL	NULL	NCTC 11168-mcK12E5	NULL	PDT000049058.1	2015-02-02	1385721	NULL	NULL
PDT000049059.1|SAMN02316407|GCA_000830845.1|Campylobacter jejuni subsp. jejuni NCTC 11168-mfK12E5|||NCTC 11168-mfK12E5|MIGS Cultured Bacterial/Archaeal	0	NULL	NULL	NULL	NULL	NULL	GCA_000830845.1	ASM83084v1	Complete Genome	1641469	1641469	1	NULL	MIGS Cultured Bacterial/Archaeal	PRJNA215043	SAMN02316407	NULL	missing	1	1508798	missing	NULL	NULL	NULL	missing	NULL	NCTC 11168-mfK12E5	Campylobacter jejuni subsp. jejuni NCTC 11168-mfK12E5	NULL	197	NULL	NULL	NCTC 11168-mfK12E5	NULL	PDT000049059.1	2015-02-02	1385722	NULL	NULL
PDT000049060.1|SAMN02316409|GCA_000830865.1|Campylobacter jejuni subsp. jejuni NCTC 11168-GSv|||NCTC 11168-rNRC|MIGS Cultured Bacterial/Archaeal	0	NULL	NULL	NULL	NULL	NULL	GCA_000830865.1	ASM83086v1	Complete Genome	1641482	1641482	1	NULL	MIGS Cultured Bacterial/Archaeal	PRJNA215043	SAMN02316409	NULL	missing	1	1508818	missing	NULL	NULL	NULL	missing	NULL	NCTC 11168-rNRC	Campylobacter jejuni subsp. jejuni NCTC 11168-GSv	NULL	197	NULL	NULL	NCTC 11168-rNRC	NULL	PDT000049060.1	2015-02-02	1385724	NULL	NULL
PDT000049396.1|SAMN03216760|GCA_000835285.1|Campylobacter jejuni subsp. jejuni|||00-1597|Pathogen: clinical or host-associated	0	NULL	NULL	NULL	NULL	NULL	GCA_000835285.1	ASM83528v1	Complete Genome	1742047	1742047	1	NULL	Pathogen: clinical or host-associated	PRJNA266759	SAMN03216760	Alberta Provincial Public Health Laboratory	2000-04-05	1	1529058	Canada: Alberta	Homo sapiens	Campylobacter gastroenteritis	not applicable	not collected	NULL	00-1597	Campylobacter jejuni subsp. jejuni	NULL	197	NULL	NULL	00-1597	NULL	PDT000049396.1	2015-02-10	32022	NULL	NULL
PDT000049397.1|SAMN03216761|GCA_000835305.1|Campylobacter jejuni subsp. jejuni|||00-6200|Pathogen: clinical or host-associated	0	NULL	NULL	NULL	NULL	NULL	GCA_000835305.1	ASM83530v1	Complete Genome	1670781	1670781	1	NULL	Pathogen: clinical or host-associated	PRJNA266760	SAMN03216761	Ontario Provincial Public Health Laboratory	2000-07-18	1	1529078	Canada: Ontario	Homo sapiens	Campylobacter gastroenteritis	not applicable	not collected	NULL	00-6200	Campylobacter jejuni subsp. jejuni	NULL	197	NULL	NULL	00-6200	NULL	PDT000049397.1	2015-02-10	32022	NULL	NULL
PDT000049398.1|SAMN03216762|GCA_000835345.1|Campylobacter jejuni subsp. jejuni|||01-1512|Pathogen: clinical or host-associated	0	NULL	NULL	NULL	NULL	NULL	GCA_000835345.1	ASM83534v1	Complete Genome	1742364	1827840	3	NULL	Pathogen: clinical or host-associated	PRJNA266761	SAMN03216762	New Brunswick provincial laboratory	2001-03-15	1	1529098	Canada: New Brunswick	Homo sapiens	Campylobacter gastroenteritis	not applicable	not collected	NULL	01-1512	Campylobacter jejuni subsp. jejuni	NULL	197	NULL	NULL	01-1512	NULL	PDT000049398.1	2015-02-10	32022	NULL	NULL
PDT000049399.1|SAMN03216759|GCA_000835365.1|Campylobacter jejuni subsp. jejuni|||00-0949|Pathogen: clinical or host-associated	0	NULL	NULL	NULL	NULL	NULL	GCA_000835365.1	ASM83536v1	Complete Genome	1745537	1831013	3	NULL	Pathogen: clinical or host-associated	PRJNA266757	SAMN03216759	Laboratoire Sant     Publique de Qu    bec/Provincial Public Health Laboratory (LSPQ)	2000-03-10	1	1529118	Canada: Quebec	Homo sapiens	Campylobacter gastroenteritis	not applicable	not collected	NULL	00-0949	Campylobacter jejuni subsp. jejuni	NULL	197	NULL	NULL	00-0949	NULL	PDT000049399.1	2015-02-10	32022	NULL	NULL
PDT000050294.1|SAMN03344735|GCA_000934305.1|Campylobacter jejuni subsp. jejuni|||35925B2|Pathogen: environmental/food/other	0	NULL	NULL	NULL	NULL	NULL	GCA_000934305.1	ASM93430v1	Complete Genome	1612378	1612378	1	NULL	Pathogen: environmental/food/other	PRJNA275426	SAMN03344735	BA Grajewski	1985	1	1644168	USA: Chicago	NULL	NULL	clinical	missing	NULL	NCTC 12661	Campylobacter jejuni subsp. jejuni	NULL	197	NULL	NULL	35925B2	NULL	PDT000050294.1	2015-02-25	32022	NULL	NULL
PDT000050600.1|SAMN03299123|GCA_000943385.1|Campylobacter jejuni subsp. jejuni|||P10-2209|Pathogen: environmental/food/other	0	NULL	NULL	NULL	NULL	NULL	GCA_000943385.1	ASM94338v1	Contig	96955	1655384	63	CLC Genomics Workbench v. 6.5.1	Pathogen: environmental/food/other	PRJNA273815	SAMN03299123	Laboratory of Food Microbiology and Immunology, Obihiro University of Agriculture and Veterinary Medicine	2010-08-22	1	1658248	Japan: Tokachi area, Obihiro	pigeon	NULL	missing	43.41 N 142.69 E	NULL	P10	Campylobacter jejuni subsp. jejuni	NULL	197	NULL	NULL	P10-2209	NULL	PDT000050600.1	2015-03-04	32022	JYEC	JYEC00000000.1
PDT000050601.1|SAMN03296045|GCA_000943395.1|Campylobacter jejuni subsp. jejuni|||C1-5523|Pathogen: environmental/food/other	0	NULL	NULL	NULL	NULL	NULL	GCA_000943395.1	ASM94339v1	Contig	46758	1727736	125	CLC Genomics Workbench v. 6.5.1	Pathogen: environmental/food/other	PRJNA273794	SAMN03296045	Laboratory of Food Microbiology and Immunology, Obihiro University of Agriculture and Veterinary Medicine	2010-08-17	1	1658258	Japan: Tokachi area, Obihiro	crow	NULL	missing	43.41 N 142.69 E	NULL	C1	Campylobacter jejuni subsp. jejuni	NULL	197	NULL	NULL	C1-5523	NULL	PDT000050601.1	2015-03-04	32022	JYDX	JYDX00000000.1
PDT000050602.1|SAMN03299058|GCA_000943435.1|Campylobacter jejuni subsp. jejuni|||C10-448|Pathogen: environmental/food/other	0	NULL	NULL	NULL	NULL	NULL	GCA_000943435.1	ASM94343v1	Contig	107221	1772775	80	CLC Genomics Workbench v. 6.5.1	Pathogen: environmental/food/other	PRJNA273808	SAMN03299058	Laboratory of Food Microbiology and Immunology, Obihiro University of Agriculture and Veterinary Medicine	2010-08-19	1	1658278	Japan: Tokachi area, Obihiro	crow	NULL	missing	43.41 N 142.69 E	NULL	C10	Campylobacter jejuni subsp. jejuni	NULL	197	NULL	NULL	C10-448	NULL	PDT000050602.1	2015-03-04	32022	JYDY	JYDY00000000.1
PDT000050603.1|SAMN03299096|GCA_000943445.1|Campylobacter jejuni subsp. jejuni|||C12-5524|Pathogen: environmental/food/other	0	NULL	NULL	NULL	NULL	NULL	GCA_000943445.1	ASM94344v1	Contig	71617	1747984	81	CLC Genomics Workbench v. 6.5.1	Pathogen: environmental/food/other	PRJNA273809	SAMN03299096	Laboratory of Food Microbiology and Immunology, Obihiro University of Agriculture and Veterinary Medicine	2010-08-17	1	1658298	Japan: Tokachi area, Obihiro	crow	NULL	missing	43.41 N 142.69 E	NULL	C12	Campylobacter jejuni subsp. jejuni	NULL	197	NULL	NULL	C12-5524	NULL	PDT000050603.1	2015-03-04	32022	JYDZ	JYDZ00000000.1
PDT000050604.1|SAMN03299097|GCA_000943475.1|Campylobacter jejuni subsp. jejuni|||P3-2209|Pathogen: environmental/food/other	0	NULL	NULL	NULL	NULL	NULL	GCA_000943475.1	ASM94347v1	Contig	153531	1670422	72	CLC Genomics Workbench v. 6.5.1	Pathogen: environmental/food/other	PRJNA273812	SAMN03299097	Laboratory of Food Microbiology and Immunology, Obihiro University of Agriculture and Veterinary Medicine	2010-08-22	1	1658328	Japan: Tokachi area, Obihiro	pigeon	NULL	missing	43.41 N 142.69 E	NULL	P3	Campylobacter jejuni subsp. jejuni	NULL	197	NULL	NULL	P3-2209	NULL	PDT000050604.1	2015-03-04	32022	JYEA	JYEA00000000.1
PDT000050605.1|SAMN03299098|GCA_000943485.1|Campylobacter jejuni subsp. jejuni|||P5-2209|Pathogen: environmental/food/other	0	NULL	NULL	NULL	NULL	NULL	GCA_000943485.1	ASM94348v1	Contig	129839	1658719	52	CLC Genomics Workbench v. 6.5.1	Pathogen: environmental/food/other	PRJNA273813	SAMN03299098	Laboratory of Food Microbiology and Immunology, Obihiro University of Agriculture and Veterinary Medicine	2010-08-22	1	1658338	Japan: Tokachi area, Obihiro	pigeon	NULL	missing	43.41 N 142.69 E	NULL	P5	Campylobacter jejuni subsp. jejuni	NULL	197	NULL	NULL	P5-2209	NULL	PDT000050605.1	2015-03-04	32022	JYEB	JYEB00000000.1
PDT000050673.1|SAMN03296060|GCA_000948095.1|Campylobacter jejuni subsp. jejuni|||C2-5524|Pathogen: environmental/food/other	0	NULL	NULL	NULL	NULL	NULL	GCA_000948095.1	ASM94809v1	Contig	87990	1740321	78	CLC Genomics Workbench v. 6.5.1	Pathogen: environmental/food/other	PRJNA273796	SAMN03296060	Laboratory of Food Microbiology and Immunology, Obihiro University of Agriculture and Veterinary Medicine	2010-08-17	1	1666878	Japan:Tokachi area, Obihiro	crow	NULL	missing	43.41 N 142.69 E	NULL	C2	Campylobacter jejuni subsp. jejuni	NULL	197	NULL	NULL	C2-5524	NULL	PDT000050673.1	2015-03-05	32022	JXTR	JXTR00000000.1
PDT000050674.1|SAMN03299121|GCA_000948105.1|Campylobacter jejuni subsp. jejuni|||P9-2209|Pathogen: environmental/food/other	0	NULL	NULL	NULL	NULL	NULL	GCA_000948105.1	ASM94810v1	Contig	69932	1656947	69	CLC Genomics Workbench v. 6.5.1	Pathogen: environmental/food/other	PRJNA273814	SAMN03299121	Laboratory of Food Microbiology and Immunology, Obihiro University of Agriculture and Veterinary Medicine	2010-08-22	1	1666898	Japan:Tokachi area, Obihiro	pigeon	NULL	missing	43.41 N 142.69 E	NULL	P9	Campylobacter jejuni subsp. jejuni	NULL	197	NULL	NULL	P9-2209	NULL	PDT000050674.1	2015-03-05	32022	JXTS	JXTS00000000.1
PDT000052325.1|SAMEA3283138|GCA_000967135.1|Campylobacter fetus subsp. venerealis str. 84-112|venerealis||84-112|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_000967135.1	CFV	Complete Genome	1926886	1988028	2	NULL	Generic	PRJNA41491	SAMEA3283138	NULL	NULL	1	1715788	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Campylobacter fetus subsp. venerealis str. 84-112	NULL	196	NULL	NULL	84-112	venerealis	PDT000052325.1	2015-03-31	688354	NULL	NULL
PDT000078199.1|SAMEA1401531|GCA_001223585.1|Campylobacter jejuni||not known|OXC6579|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001223585.1	7213_3#36	Contig	285713	1613109	8	NULL	Generic	PRJEB2075	SAMEA1401531	NULL	2011	1	2069498	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6579	NULL	PDT000078199.1	2015-08-05	197	CUTT	CUTT00000000.1
PDT000078200.1|SAMEA1010445|GCA_001223725.1|Campylobacter jejuni||not known|OXC6346|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001223725.1	7038_3#96	Contig	285616	1613949	8	NULL	Generic	PRJEB2075	SAMEA1010445	NULL	2011	1	2069638	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6346	NULL	PDT000078200.1	2015-08-05	197	CULG	CULG00000000.1
PDT000078201.1|SAMEA1401174|GCA_001223745.1|Campylobacter jejuni||not known|OXC6564|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001223745.1	7213_3#21	Contig	154455	1738985	20	NULL	Generic	PRJEB2075	SAMEA1401174	NULL	2011	1	2069658	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6564	NULL	PDT000078201.1	2015-08-05	197	CUTD	CUTD00000000.1
PDT000078202.1|SAMEA1010660|GCA_001223765.1|Campylobacter jejuni||not known|OXC6543|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001223765.1	7092_1#96	Contig	198516	1666364	22	NULL	Generic	PRJEB2075	SAMEA1010660	NULL	2011	1	2069678	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6543	NULL	PDT000078202.1	2015-08-05	197	CUSR	CUSR00000000.1
PDT000078203.1|SAMEA1401320|GCA_001223845.1|Campylobacter jejuni||not known|OXC6545|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001223845.1	7213_3#2	Contig	325488	1651765	14	NULL	Generic	PRJEB2075	SAMEA1401320	NULL	2011	1	2069758	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6545	NULL	PDT000078203.1	2015-08-05	197	CUTB	CUTB00000000.1
PDT000078204.1|SAMEA1010334|GCA_001223885.1|Campylobacter jejuni||not known|OXC6408|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001223885.1	7065_7#60	Contig	259463	1672335	20	NULL	Generic	PRJEB2075	SAMEA1010334	NULL	2011	1	2069798	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6408	NULL	PDT000078204.1	2015-08-05	197	CUNK	CUNK00000000.1
PDT000078205.1|SAMEA1010539|GCA_001223925.1|Campylobacter jejuni||not known|OXC6527|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001223925.1	7092_1#80	Contig	191744	1666553	16	NULL	Generic	PRJEB2075	SAMEA1010539	NULL	2011	1	2069838	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6527	NULL	PDT000078205.1	2015-08-05	197	CURY	CURY00000000.1
PDT000078206.1|SAMEA1010461|GCA_001224005.1|Campylobacter jejuni||not known|OXC6305|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001224005.1	7038_3#55	Contig	160349	1693099	31	NULL	Generic	PRJEB2075	SAMEA1010461	NULL	2011	1	2069918	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6305	NULL	PDT000078206.1	2015-08-05	197	CUJN	CUJN00000000.1
PDT000078207.1|SAMEA1010514|GCA_001224025.1|Campylobacter jejuni||not known|OXC6387|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001224025.1	7065_7#41	Contig	263320	1724048	15	NULL	Generic	PRJEB2075	SAMEA1010514	NULL	2011	1	2069938	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6387	NULL	PDT000078207.1	2015-08-05	197	CUMQ	CUMQ00000000.1
PDT000078208.1|SAMEA1010388|GCA_001224105.1|Campylobacter jejuni||not known|OXC6521|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001224105.1	7092_1#74	Contig	344473	1663791	16	NULL	Generic	PRJEB2075	SAMEA1010388	NULL	2011	1	2070018	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6521	NULL	PDT000078208.1	2015-08-05	197	CURR	CURR00000000.1
PDT000078209.1|SAMEA1010640|GCA_001224125.1|Campylobacter jejuni||not known|OXC6329|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001224125.1	7038_3#79	Contig	169551	1694982	17	NULL	Generic	PRJEB2075	SAMEA1010640	NULL	2011	1	2070038	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6329	NULL	PDT000078209.1	2015-08-05	197	CUKN	CUKN00000000.1
PDT000078210.1|SAMEA1401010|GCA_001224185.1|Campylobacter jejuni||not known|OXC6588|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001224185.1	7213_3#45	Contig	151465	2033125	999	NULL	Generic	PRJEB2075	SAMEA1401010	NULL	2011	1	2070098	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6588	NULL	PDT000078210.1	2015-08-05	197	CUUG	CUUG00000000.1
PDT000078211.1|SAMEA1010416|GCA_001224205.1|Campylobacter jejuni||not known|OXC6262|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001224205.1	7038_3#13	Contig	293976	1785340	22	NULL	Generic	PRJEB2075	SAMEA1010416	NULL	2011	1	2070118	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6262	NULL	PDT000078211.1	2015-08-05	197	CUHT	CUHT00000000.1
PDT000078212.1|SAMEA1010363|GCA_001224265.1|Campylobacter jejuni||not known|OXC6266|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001224265.1	7038_3#17	Contig	191751	1675962	20	NULL	Generic	PRJEB2075	SAMEA1010363	NULL	2011	1	2070178	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6266	NULL	PDT000078212.1	2015-08-05	197	CUHX	CUHX00000000.1
PDT000078213.1|SAMEA1401076|GCA_001224325.1|Campylobacter jejuni||not known|OXC6596|Generic	0	NULL	NULL	NULL	NULL	NULL	GCA_001224325.1	7213_3#53	Contig	189358	1705371	20	NULL	Generic	PRJEB2075	SAMEA1401076	NULL	2011	1	2070238	United Kingdom	human	NULL	faeces	NULL	NULL	NULL	Campylobacter jejuni	not known	197	NULL	NULL	OXC6596	NULL	PDT000078213.1	2015-08-05	197	CUUJ	CUUJ00000000.1
